Number,ID,OBJECTID,LINE_NO,GMT_DATE,GMT_TIME,LMT_DATE,LMT_TIME,ECEF_X,ECEF_Y,ECEF_Z,LATITUDE,LONGITUDE,HEIGHT,DOP,NAV,VALIDATED,SATS_USED,CH1_SATID,CH1_C_N,CH2_SATID,CH2_C_N,CH3_SATID,CH3_C_N,CH4_SATID,CH4_C_N,CH5_SATID,CH5_C_N,CH6_SATID,CH6_C_N,CH7_SATID,CH7_C_N,CH8_SATID,CH8_C_N,CH9_SATID,CH9_C_N,CH10_SATID,CH10_C_N,CH11_SATID,CH11_C_N,CH12_SATID,CH12_C_N,MAIN_VOL,BU_VOL,TEMP,CLK_OFFSET,REMARKS,Year,Month,Day,LandCover,Roads_Dist,Wetlands_D,Water_Dist,scale_Elev,scale_Slop,scale_RELa,PercentC,PercentN,PercentP,qtyC,qtyN,qtyP,CNratio,CPratio,NPratio,FID_Forest,OBJECTID_1,FORESTID,FORESTTYPE,STOCKING,SITECODE,SHAPE_Leng,SHAPE_Area,OBJECTID_2,SPCOMP,STRATUM,AGE_CODE,HGT_CODE,CDEN_CODE,RR_SUBTYPE,FORESTID_1,OID_,Device_ID,Altitude,Fix_Status,Temp__C_,Main__V_,Back__V_,...83,...84,...85,...86,itime,idate,datetime,EASTING,NORTHING
34,PPM002,3766,668,2013-06-04T00:00:00Z,04:02:59,2013-06-04T00:00:00Z,00:32:59,2201025,-3359674,4938145,51.0649643,-56.7699681,71.15,3,3D,Yes,5,2,44,4,38,12,44,17,35,25,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,3.6,6,0.005,,2013,6,4,6,1728.01,922.219,649.723,-1.19523112409,-0.287866258273,1.1057631064,49.5031344538,2.58274201189,0.243307737333,-1.45359060392,-4.41186464571,-6.78491705951,22.6157527163,543.90126551,24.1602086439,6878,1235256,1041637,1,ST,M,1686.30643408,53276.52245,472376,bFbS,bF42,5,4,2,1,1041637,,,,,,,,,,,,04:02:59,2013-06-04,2013-06-04T04:02:59Z,516118.686128028,5657074.37327064
36,PPM002,3768,670,2013-06-04T00:00:00Z,08:00:50,2013-06-04T00:00:00Z,04:30:50,2201655,-3359951,4937655,51.0581622,-56.7646168,52.63,3,3D,Yes,6,2,29,5,44,7,41,8,47,10,41,26,38,0,0,0,0,0,0,0,0,0,0,0,0,3.32,3.6,9,0.002,,2013,6,4,18,880.905,1770.6,111.427,-1.48330089307,-0.701080256587,1.53764573681,49.8779573617,2.28915622559,0.199514259961,-3.18872629318,-6.2488237323,-8.68692514564,24.5781052999,628.394315054,25.7341967499,12021,1270488,1048241,1,ST,P,880.485017059,24996.43225,465709,bFbS,bF43,7,4,3,1,1048241,,,,,,,,,,,,08:00:50,2013-06-04,2013-06-04T08:00:50Z,516496.076585515,5656319.13202905
37,PPM002,3769,671,2013-06-04T00:00:00Z,10:01:16,2013-06-04T00:00:00Z,06:31:16,2201619,-3359978,4937657,51.0581536,-56.7652573,55.97,3.2,3D,Yes,5,5,38,15,44,21,35,24,44,26,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.6,11,0.002,,2013,6,4,18,880.905,1770.6,111.427,-1.48330089307,-0.701080256587,1.53764573681,49.8779573617,2.28915622559,0.199514259961,-3.18872629318,-6.2488237323,-8.68692514564,24.5781052999,628.394315054,25.7341967499,5822,1229168,1032250,1,ST,M,884.824923334,22192.56405,494626,bF,bF42,4,4,2,1,1032250,,,,,,,,,,,,10:01:16,2013-06-04,2013-06-04T10:01:16Z,516451.192297493,5656318.03243436
38,PPM002,3771,673,2013-06-04T00:00:00Z,14:01:12,2013-06-04T00:00:00Z,10:31:12,2201621,-3360006,4937647,51.0579257,-56.7654523,63.61,3.4,3D,Yes,5,12,41,14,38,22,41,25,41,31,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,3.56,14,0.007,,2013,6,4,18,880.905,1770.6,111.427,-1.48330089307,-0.701080256587,1.53764573681,49.8779573617,2.28915622559,0.199514259961,-3.18872629318,-6.2488237323,-8.68692514564,24.5781052999,628.394315054,25.7341967499,5822,1229168,1032250,1,ST,M,884.824923334,22192.56405,494626,bF,bF42,4,4,2,1,1032250,,,,,,,,,,,,14:01:12,2013-06-04,2013-06-04T14:01:12Z,516437.607054519,5656292.64535453
45,PPM002,3778,680,2013-06-05T00:00:00Z,04:00:53,2013-06-05T00:00:00Z,00:30:53,2201625,-3359988,4937625,51.0578913,-56.7652639,38.41,3.4,3D,Yes,6,4,38,10,47,13,44,17,44,20,35,23,47,0,0,0,0,0,0,0,0,0,0,0,0,3.32,3.6,9,0.998,,2013,6,5,18,880.905,1770.6,111.427,-1.48330089307,-0.701080256587,1.53764573681,49.8779573617,2.28915622559,0.199514259961,-3.18872629318,-6.2488237323,-8.68692514564,24.5781052999,628.394315054,25.7341967499,5822,1229168,1032250,1,ST,M,884.824923334,22192.56405,494626,bF,bF42,4,4,2,1,1032250,,,,,,,,,,,,04:00:53,2013-06-05,2013-06-05T04:00:53Z,516450.822705991,5656288.86196945
46,PPM002,3779,681,2013-06-05T00:00:00Z,06:01:23,2013-06-05T00:00:00Z,02:31:23,2201615,-3360027,4937628,51.0577185,-56.7656881,57.8,2,3D,Yes,7,4,32,5,47,8,29,10,35,13,35,26,41,29,41,0,0,0,0,0,0,0,0,0,0,3.28,3.58,10,0.005,,2013,6,5,18,848.6,1819.02,111.427,-1.47129798603,-0.756921243661,1.53764573681,49.8779573617,2.28915622559,0.199514259961,-3.18872629318,-6.2488237323,-8.68692514564,24.5781052999,628.394315054,25.7341967499,5822,1229168,1032250,1,ST,M,884.824923334,22192.56405,494626,bF,bF42,4,4,2,1,1032250,,,,,,,,,,,,06:01:23,2013-06-05,2013-06-05T06:01:23Z,516421.154992739,5656269.55115302
49,PPM002,3783,686,2013-06-05T00:00:00Z,16:02:03,2013-06-05T00:00:00Z,12:32:03,2201547,-3359840,4937787,51.0599709,-56.7650375,59.74,3,3D,Yes,4,20,41,23,32,29,35,31,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.56,12,0.006,,2013,6,5,1,1097.42,1551.99,284.083,-1.41128345082,-0.0741857064688,1.80217572924,50.0426847969,2.26896578796,0.19804826248,-3.08793796146,-6.15612483572,-8.59335874451,24.7081810144,631.405774531,25.6877603503,5824,1229203,1032253,1,ST,M,1717.37105116,33716.4798499,494632,bF,bF42,4,4,2,1,1032253,,,,,,,,,,,,16:02:03,2013-06-05,2013-06-05T16:02:03Z,516465.951656475,5656520.17386815
50,PPM002,3784,688,2013-06-05T00:00:00Z,20:00:44,2013-06-05T00:00:00Z,16:30:44,2201543,-3359884,4937757,51.0595595,-56.7654292,58.16,2.8,3D,Yes,7,3,41,6,38,7,44,11,35,13,47,19,44,23,44,0,0,0,0,0,0,0,0,0,0,3.32,3.58,9,0.004,,2013,6,5,1,1024.28,1624.31,222.853,-1.43528926491,-0.125156124341,1.82015292474,50.0305427565,2.29436538569,0.196944616791,-2.39115990909,-5.45031991527,-7.89767251188,24.5169199134,629.259731602,25.8749344951,12021,1270488,1048241,1,ST,P,880.485017059,24996.43225,465709,bFbS,bF43,7,4,3,1,1048241,,,,,,,,,,,,20:00:44,2013-06-05,2013-06-05T20:00:44Z,516438.647403359,5656474.33675977
51,PPM002,3785,689,2013-06-05T00:00:00Z,22:00:49,2013-06-05T00:00:00Z,18:30:49,2201640,-3359815,4937760,51.0596082,-56.7637325,57.63,4.8,2D,No,3,7,44,11,35,19,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,3.56,8,0.001,,2013,6,5,1,996.63,1656.48,176.181,-1.44729217195,-0.175446326943,1.84056289914,50.0187161297,2.29074390661,0.196513846182,-2.40281307003,-5.46308882791,-7.91063808225,24.5415270757,629.911384987,25.8830499637,5824,1229203,1032253,1,ST,M,1717.37105116,33716.4798499,494632,bF,bF42,4,4,2,1,1032253,,,,,,,,,,,,22:00:49,2013-06-05,2013-06-05T22:00:49Z,516557.534091765,5656480.13243181
52,PPM002,3786,690,2013-06-06T00:00:00Z,00:00:54,2013-06-05T00:00:00Z,20:30:54,2201534,-3359834,4937792,51.0600841,-56.7651457,55.99,1.8,3D,Yes,8,1,44,8,38,9,35,11,41,17,32,19,41,20,44,28,41,0,0,0,0,0,0,0,0,3.3,3.58,8,0.002,,2013,6,6,1,1097.42,1551.99,284.083,-1.41128345082,-0.0741857064688,1.80217572924,50.0426847969,2.26896578796,0.19804826248,-3.08793796146,-6.15612483572,-8.59335874451,24.7081810144,631.405774531,25.6877603503,5824,1229203,1032253,1,ST,M,1717.37105116,33716.4798499,494632,bF,bF42,4,4,2,1,1032253,,,,,,,,,,,,00:00:54,2013-06-06,2013-06-06T00:00:54Z,516458.328976243,5656532.73806331
53,PPM002,3787,691,2013-06-06T00:00:00Z,02:01:29,2013-06-05T00:00:00Z,22:31:29,2201805,-3359590,4937860,51.0608566,-56.7600049,73.97,2.6,3D,Yes,5,1,29,4,38,17,41,20,38,28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,3.56,8,0.003,,2013,6,6,18,1071.67,1639.52,157.581,-1.38727763674,0.334381621443,1.68365074874,49.8527502763,2.50961434667,0.223170147888,-3.67810699473,-6.66686472639,-9.08842502686,23.1832504019,585.202567564,25.3831083851,5318,1226925,1031534,1,ST,M,2177.03219826,120159.3922,489595,bF,bF41,4,4,1,1,1031534,,,,,,,,,,,,02:01:29,2013-06-06,2013-06-06T02:01:29Z,516818.310221935,5656619.80488361
54,PPM002,3788,692,2013-06-06T00:00:00Z,04:01:49,2013-06-06T00:00:00Z,00:31:49,2201765,-3359587,4937882,51.0611517,-56.7604587,75.73,5.2,3D,Yes,5,2,41,4,38,10,41,13,29,23,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.6,8,0.007,,2013,6,6,1,1071.67,1639.52,157.581,-1.38727763674,0.334381621443,1.68365074874,50.1399898877,2.27848548674,0.198417274644,-2.99478630378,-6.060617515,-8.50050849047,24.6423592005,631.34503936,25.7252013005,2122,1203990,1030436,1,ST,M,1772.54618172,63870.2418499,488621,bF,bF32,4,3,2,1,1030436,,,,,,,,,,,,04:01:49,2013-06-06,2013-06-06T04:01:49Z,516786.40227385,5656652.51789085
55,PPM002,3789,693,2013-06-06T00:00:00Z,06:02:45,2013-06-06T00:00:00Z,02:32:45,2201801,-3359571,4937879,51.0610904,-56.7599041,77.39,3.8,3D,Yes,5,2,38,4,41,5,38,10,38,13,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,3.58,8,0.003,,2013,6,6,18,1071.67,1639.52,157.581,-1.38727763674,0.334381621443,1.68365074874,49.8527502763,2.50961434667,0.223170147888,-3.67810699473,-6.66686472639,-9.08842502686,23.1832504019,585.202567564,25.3831083851,2122,1203990,1030436,1,ST,M,1772.54618172,63870.2418499,488621,bF,bF32,4,3,2,1,1030436,,,,,,,,,,,,06:02:45,2013-06-06,2013-06-06T06:02:45Z,516825.289303819,5656645.82757107
65,PPM002,3799,705,2013-06-07T00:00:00Z,06:01:47,2013-06-07T00:00:00Z,02:31:47,2201597,-3360200,4937528,51.0562109,-56.7672551,64.78,4.8,3D,Yes,5,2,38,4,29,5,38,7,35,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,3.6,8,0.995,,2013,6,7,18,726.412,1949.17,78.7905,-1.49530380011,-0.924452050531,-0.0131413628132,49.7696150411,2.43686006218,0.211516341085,-3.09203222335,-6.10196246547,-8.54855845794,23.5954876451,609.033880051,25.8994742483,5313,1226920,1031529,1,ST,M,637.999209336,18415.9230001,489590,bF,bF41,4,4,1,1,1031529,,,,,,,,,,,,06:01:47,2013-06-07,2013-06-07T06:01:47Z,516311.86558932,5656101.5508433
68,PPM002,3803,709,2013-06-07T00:00:00Z,14:00:55,2013-06-07T00:00:00Z,10:30:55,2201293,-3360119,4937696,51.0587984,-56.7702489,48.14,3,3D,Yes,5,12,35,14,35,22,44,25,47,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,3.58,14,0.997,,2013,6,7,1,1057.09,1593.44,111.427,-1.48330089307,-0.723106427163,-1.15696015343,49.7805172672,2.54415881273,0.219875231615,-2.94692648628,-5.92116761867,-8.37579189027,22.8795403467,596.011500051,26.0435772384,5317,1226924,1031533,1,ST,M,1071.3969441,35721.1049001,489594,bF,bF41,4,4,1,1,1031533,,,,,,,,,,,,14:00:55,2013-06-07,2013-06-07T14:00:55Z,516101.148713316,5656388.63433822
70,PPM002,3805,712,2013-06-07T00:00:00Z,20:01:10,2013-06-07T00:00:00Z,16:31:10,2201260,-3360191,4937672,51.0583682,-56.7712054,55.97,3.6,3D,Yes,6,3,38,6,38,7,44,8,41,13,35,19,38,0,0,0,0,0,0,0,0,0,0,0,0,3.34,3.58,15,0.993,,2013,6,7,1,952.029,1662.09,111.427,-1.48330089307,-0.924452050531,-0.0131413628132,49.7805172672,2.54415881273,0.219875231615,-2.94692648628,-5.92116761867,-8.37579189027,22.8795403467,596.011500051,26.0435772384,12020,1270487,1048240,1,ST,P,769.628870305,11433.4178999,465708,bFbS,bF43,7,4,3,1,1048240,,,,,,,,,,,,20:01:10,2013-06-07,2013-06-07T20:01:10Z,516034.265057133,5656340.58543929
80,PPM002,3815,723,2013-06-08T00:00:00Z,18:00:53,2013-06-08T00:00:00Z,14:30:53,2201185,-3360234,4937688,51.0584945,-56.7724363,65.19,6,3D,Yes,5,3,41,6,35,13,50,16,38,23,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,3.6,20,0.997,,2013,6,8,1,918.847,1656.48,78.7905,-1.48330089307,-0.924452050531,-0.0131413628132,49.7696788846,2.43938007252,0.211969408816,-3.09248965414,-6.10156997041,-8.54742334302,23.5784531195,608.271683451,25.8816991433,5317,1226924,1031533,1,ST,M,1071.3969441,35721.1049001,489594,bF,bF41,4,4,1,1,1031533,,,,,,,,,,,,18:00:53,2013-06-08,2013-06-08T18:00:53Z,515947.958465653,5656354.36339126
81,PPM002,3816,724,2013-06-08T00:00:00Z,20:01:19,2013-06-08T00:00:00Z,16:31:19,2201211,-3360209,4937681,51.0585015,-56.7719307,55.55,4.2,3D,No,4,3,38,7,41,13,38,16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,3.6,24,0.002,,2013,6,8,1,952.029,1662.09,111.427,-1.48330089307,-0.924452050531,-0.0131413628132,49.7696788846,2.43938007252,0.211969408816,-3.09248965414,-6.10156997041,-8.54742334302,23.5784531195,608.271683451,25.8816991433,5317,1226924,1031533,1,ST,M,1071.3969441,35721.1049001,489594,bF,bF41,4,4,1,1,1031533,,,,,,,,,,,,20:01:19,2013-06-08,2013-06-08T20:01:19Z,515983.389118571,5656355.25140514
83,PPM002,3818,726,2013-06-09T00:00:00Z,00:01:16,2013-06-08T00:00:00Z,20:31:16,2201201,-3360166,4937711,51.0589608,-56.7717139,52.84,2.8,3D,Yes,5,1,35,9,32,11,35,20,41,28,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,3.62,12,0.991,,2013,6,9,1,1024.28,1583.67,78.7905,-1.48330089307,-0.924452050531,-0.0131413628132,49.7696788846,2.43938007252,0.211969408816,-3.09248965414,-6.10156997041,-8.54742334302,23.5784531195,608.271683451,25.8816991433,5317,1226924,1031533,1,ST,M,1071.3969441,35721.1049001,489594,bF,bF41,4,4,1,1,1031533,,,,,,,,,,,,00:01:16,2013-06-09,2013-06-09T00:01:16Z,515998.424438267,5656406.37479424
84,PPM002,3819,727,2013-06-09T00:00:00Z,02:00:53,2013-06-08T00:00:00Z,22:30:53,2201191,-3360229,4937715,51.0586533,-56.7723256,85.63,2.2,3D,Yes,6,1,32,2,44,4,44,12,44,17,38,20,44,0,0,0,0,0,0,0,0,0,0,0,0,3.32,3.6,11,0.007,,2013,6,9,1,987.242,1577.78,0,-1.48330089307,-0.924452050531,-0.0131413628132,49.7696788846,2.43938007252,0.211969408816,-3.09248965414,-6.10156997041,-8.54742334302,23.5784531195,608.271683451,25.8816991433,5317,1226924,1031533,1,ST,M,1071.3969441,35721.1049001,489594,bF,bF41,4,4,1,1,1031533,,,,,,,,,,,,02:00:53,2013-06-09,2013-06-09T02:00:53Z,515955.661876855,5656372.04667173
85,PPM002,3820,728,2013-06-09T00:00:00Z,04:01:21,2013-06-09T00:00:00Z,00:31:21,2201136,-3360245,4937702,51.0586969,-56.7731069,64.98,5.4,3D,Yes,5,2,41,4,35,10,41,12,35,25,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,3.6,11,0.006,,2013,6,9,1,987.242,1577.78,0,-1.48330089307,-0.924452050531,-0.0131413628132,49.7696788846,2.43938007252,0.211969408816,-3.09248965414,-6.10156997041,-8.54742334302,23.5784531195,608.271683451,25.8816991433,5317,1226924,1031533,1,ST,M,1071.3969441,35721.1049001,489594,bF,bF41,4,4,1,1,1031533,,,,,,,,,,,,04:01:21,2013-06-09,2013-06-09T04:01:21Z,515900.892675508,5656376.7262591
86,PPM002,3821,729,2013-06-09T00:00:00Z,06:02:30,2013-06-09T00:00:00Z,02:32:30,2201154,-3360216,4937714,51.0588654,-56.7726655,65.27,4.8,3D,Yes,5,2,44,4,41,5,41,10,38,26,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.58,11,0.995,,2013,6,9,1,987.242,1577.78,0,-1.48330089307,-0.924452050531,-0.0131413628132,49.7696788846,2.43938007252,0.211969408816,-3.09248965414,-6.10156997041,-8.54742334302,23.5784531195,608.271683451,25.8816991433,5317,1226924,1031533,1,ST,M,1071.3969441,35721.1049001,489594,bF,bF41,4,4,1,1,1031533,,,,,,,,,,,,06:02:30,2013-06-09,2013-06-09T06:02:30Z,515931.768562785,5656395.55962567
92,PPM002,3827,736,2013-06-09T00:00:00Z,20:02:01,2013-06-09T00:00:00Z,16:32:01,2201280,-3359506,4938138,51.0649302,-56.765612,65.21,3,3D,Yes,5,3,29,6,41,8,41,19,29,23,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,3.6,21,0.004,,2013,6,9,6,1569.89,1094.59,677.781,-1.24324275225,-0.747859375427,1.32743481471,49.6271063707,2.56500101662,0.230989682906,-3.2044380293,-6.1721452019,-8.5808707725,22.7920354323,566.756619336,25.0810272099,9908,1258141,1043259,1,ST,P,1154.69851953,36547.8293,470117,bFbS,bF32,7,3,2,1,1043259,,,,,,,,,,,,20:02:01,2013-06-09,2013-06-09T20:02:01Z,516423.936414055,5657071.54346368
